sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,gse,gsm,layout,tissue,condition,read1_url,read2_url
SRR28352555,-0.7287929521596905,0.038283554140573044,-0.07932542942446731,-1.5660416384444447,-0.07773147013798067,0.1212570631087859,0.508774277028163,21.763510602434717,-23.420122405821896,-1.6274646454618023,2.536302672228105e-14,-1.512619035195411e-13,GSE261676,GSM8148677,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/055/SRR28352555/SRR28352555_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/055/SRR28352555/SRR28352555_2.fastq.gz
SRR28352556,-0.9997527523643464,-0.03235658035217523,-0.11443665968917931,0.9478671972487691,-0.28942257599205196,0.6582522178875673,-0.2634131226057226,16.23495428704937,23.352517910018143,12.638957925314864,2.4133597831395928e-14,-1.5693441530641535e-13,GSE261676,GSM8148676,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/056/SRR28352556/SRR28352556_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/056/SRR28352556/SRR28352556_2.fastq.gz
SRR28352557,3.580993815853858,-0.07725168303026482,0.09945698440440875,0.10941596220427612,-0.37096212218443103,0.1818639479768772,0.012990183703087094,-27.66602570923932,-7.577132859794507,16.360770329810503,1.4647436752789367e-14,-1.5623165823511627e-13,GSE261676,GSM8148675,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/057/SRR28352557/SRR28352557_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/057/SRR28352557/SRR28352557_2.fastq.gz
SRR28352561,-1.8524481113298779,0.07132470924188579,0.0943051047092224,0.5087584789914313,0.7381161683144669,-0.9613732289732241,-0.2583513381255258,-10.332439180244995,7.644737355598219,-27.372263609663584,3.1633187877599497e-14,-1.5070519563660755e-13,GSE261676,GSM8148671,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/061/SRR28352561/SRR28352561_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/061/SRR28352561/SRR28352561_2.fastq.gz
SRR8327795,90.47366804762332,-0.5367878567535457,5.617254006017783,26.06904441767111,17.920855155591518,-45.07140348354255,-37.77656698222172,0.38751190413685077,-0.18277547050852117,0.3544405541812631,1.2697234029788294e-13,1.6752646697056644e-14,GSE123919,GSM3516880,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/005/SRR8327795/SRR8327795.fastq.gz,NA
SRR8327796,91.04944000632025,-0.22762184537352043,5.508801882281623,26.00091050449334,1.1083677148778055,-22.319390139643172,55.66768398674765,0.1164231823617108,0.21044017320530192,0.03490169801225165,2.0357673808769563e-13,6.3934979652792085e-15,GSE123919,GSM3516880,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/006/SRR8327796/SRR8327796.fastq.gz,NA
SRR8327799,89.46726423058621,-0.5142658871000274,5.775561949266408,28.63361290782849,39.81031955977851,48.24096675505447,-4.389200330498961,0.014003741214443978,-0.13213845045399789,-0.21694103627060343,1.2816701361960793e-13,4.361763553168056e-15,GSE123919,GSM3516882,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/009/SRR8327799/SRR8327799.fastq.gz,NA
SRR8327800,88.70055537210821,-0.10419845429446829,5.53325460798089,28.53437696905628,-58.8267308111068,18.471187673148435,-13.429920427126683,0.06567217783435635,-0.0843249197910834,-0.5437302523837606,1.6019010978025755e-13,3.190036064953589e-14,GSE123919,GSM3516882,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/000/SRR8327800/SRR8327800.fastq.gz,NA
SRR8327813,-149.41600078900186,-136.62663862688396,57.37458897126132,1.4285102869481388,-0.0158770792043873,-0.16318700737548156,0.15248687980172246,-0.1503619666445237,-0.07794013530269671,0.14140929815254846,-3.709286711641181e-14,1.850493365708924e-14,GSE123919,GSM3516889,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/003/SRR8327813/SRR8327813.fastq.gz,NA
SRR8327814,-148.0778894637191,125.58347877618492,77.76653321999937,-0.10095195266567432,0.15519185041181727,-0.16981099874435135,0.06562381924117612,-0.1589321212020456,-0.06811989970317857,0.17073814303283127,-5.361094077876829e-15,-3.2979030549512264e-14,GSE123919,GSM3516889,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/004/SRR8327814/SRR8327814.fastq.gz,NA
SRR8327817,-126.75126924567687,13.043408416724418,-147.63148893706094,12.976076932553372,0.17385865785117982,-0.20403016328139015,0.08355397860958733,-0.16200877564544042,-0.10925984125706735,0.11949397447984852,2.3284398755616473e-14,-3.177112085930976e-14,GSE123919,GSM3516891,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/007/SRR8327817/SRR8327817.fastq.gz,NA
SRR8327818,64.55423184176135,-0.6173745225038645,-9.944505699745706,-123.54158006588506,-0.3259850481997392,1.2156673643842593,-0.37366092455283656,-0.11230814205534527,0.44411854381122734,-0.06031237920435995,1.9549785690260428e-13,-1.4106570316479637e-14,GSE123919,GSM3516891,SINGLE,DRG_or_spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/008/SRR8327818/SRR8327818.fastq.gz,NA
