sample_id,gse,gsm,layout,tissue,condition,read1_url,read2_url
SRR28352555,GSE261676,GSM8148677,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/055/SRR28352555/SRR28352555_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/055/SRR28352555/SRR28352555_2.fastq.gz
SRR28352556,GSE261676,GSM8148676,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/056/SRR28352556/SRR28352556_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/056/SRR28352556/SRR28352556_2.fastq.gz
SRR28352557,GSE261676,GSM8148675,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/057/SRR28352557/SRR28352557_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/057/SRR28352557/SRR28352557_2.fastq.gz
SRR28352561,GSE261676,GSM8148671,PAIRED,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/061/SRR28352561/SRR28352561_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR283/061/SRR28352561/SRR28352561_2.fastq.gz
SRR8327795,GSE123919,GSM3516880,SINGLE,spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/005/SRR8327795/SRR8327795.fastq.gz,
SRR8327796,GSE123919,GSM3516880,SINGLE,spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/006/SRR8327796/SRR8327796.fastq.gz,
SRR8327799,GSE123919,GSM3516882,SINGLE,spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/009/SRR8327799/SRR8327799.fastq.gz,
SRR8327800,GSE123919,GSM3516882,SINGLE,spinal_cord,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/000/SRR8327800/SRR8327800.fastq.gz,
SRR8327813,GSE123919,GSM3516889,SINGLE,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/003/SRR8327813/SRR8327813.fastq.gz,
SRR8327814,GSE123919,GSM3516889,SINGLE,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/004/SRR8327814/SRR8327814.fastq.gz,
SRR8327817,GSE123919,GSM3516891,SINGLE,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/007/SRR8327817/SRR8327817.fastq.gz,
SRR8327818,GSE123919,GSM3516891,SINGLE,DRG,SNI,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/008/SRR8327818/SRR8327818.fastq.gz,